E1,E2,E3,Energy_total,B.E.,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE
Cu,Au,O,-223.65,4.33,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74
Cu,Cu,O,-224.9,4.29,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31
Cu,Pd,O,-225.87,4.61,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34
Cu,Pt,O,-226.32,4.7,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48
Cu,Rh,O,-227.59,4.23,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99
Cu,Ru,O,-228.89,3.63,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58
Cu,Ni,O,-226.56,4.01,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92
Cu,Co,O,-227.58,3.59,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11
Cu,Ir,O,-228.55,4.14,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28
Cu,Fe,O,-228.45,3.11,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45
Cu,Re,O,-232.73,1.71,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58
Cu,W,O,-233.7,1.21,74,183.84,6,6,1.93,1.4,3695,5828,52.3,19.3,7.86,3.23
Cu,Mo,O,-231.5,1.78,42,95.96,6,5,1.9,1.3,2896,4912,37.5,10.2,7.09,2.8
Cu,Zn,O,-223.5,4.12,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35
Cu,B,O,-228.66,1.97,5,10.81,13,2,0.87,2.04,2348,4273,50,2.46,8.32,2.2
Cu,Al,O,-226.63,3.17,13,26.98,13,3,1.18,1.47,933,2792,10.8,2.7,5.99,0.8
Cu,Ga,O,-225.13,3.83,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48
Cu,In,O,-224.28,4.04,49,114.82,13,5,1.56,1.49,430,2345,3.3,7.31,5.79,0.3
Cu,Ge,O,-226.13,4.03,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87
Cu,Sn,O,-225.39,4.14,50,118.71,14,5,1.45,1.72,505,2875,7.2,7.26,7.35,0.54
Cu,Sc,O,-229.14,2.52,21,44.96,3,4,1.84,1.2,1814,3109,14.1,2.99,6.56,1.2
Cu,Y,O,-229.37,2.52,39,88.91,3,5,2.12,1.11,1795,3618,11.4,4.47,6.22,0.96
Cu,Ti,O,-230.33,1.92,22,47.87,4,4,1.76,1.32,1941,3560,14.2,4.51,6.83,1.93
Cu,Zr,O,-230.77,2.11,40,91.22,4,5,2.06,1.22,2128,4682,21,6.52,6.63,1.57
Cu,Hf,O,-232.53,1.88,72,178.49,4,6,2.08,1.23,2506,4876,27.2,13.3,6.83,1.71
Cu,V,O,-230.45,1.91,23,50.94,5,4,1.71,1.45,2183,3680,21.5,6,6.75,2.38
Cu,Nb,O,-231.32,1.98,41,92.91,5,5,1.98,1.23,2750,5017,30,8.57,6.76,2.07