Alloy,Element 1,Ratio,Element 2,Carbon B.E.,Oxygen B.E.,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE,AN',AM',G',P',R',EN',M.P.',B.P.',H_FUS',DENSITY',IE',SE',ElectronAffinity,Pauling,WorkFunction,dBandCenter
Au3Au,Au,3,Au,4.8,2.7,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,2.31,2.54,6.01,-3.56
Au3Cd,Au,3,Cd,4.9,1.8,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,48,112.41,12,5,1.61,1.46,594,1040,6.2,8.69,8.99,0.2,2.31,2.54,6.01,-3.56
Au3Pd,Au,3,Pd,3.7,2.5,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,2.31,2.54,6.01,-3.56
Co3Co,Co,3,Co,1.7,-0.1,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,0.66,1.88,5.76,-1.17
Co3Ge,Co,3,Ge,2.7,0.5,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,0.66,1.88,5.76,-1.17
Co3Ir,Co,3,Ir,1.2,0,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,0.66,1.88,5.76,-1.17
Co3Ni,Co,3,Ni,1.7,0,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,0.66,1.88,5.76,-1.17
Co3Pt,Co,3,Pt,2.4,0.7,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,0.66,1.88,5.76,-1.17
Co3Rh,Co,3,Rh,1.5,0.2,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,0.66,1.88,5.76,-1.17
Cu3Cu,Cu,3,Cu,3.6,1.1,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,1.24,1.9,5.3,-2.67
Cu3Pd,Cu,3,Pd,3.4,1.3,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,1.24,1.9,5.3,-2.67
Cu3Pt,Cu,3,Pt,2.8,1.3,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,1.24,1.9,5.3,-2.67
Ir3Ir,Ir,3,Ir,1.6,0,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,1.57,2.2,6.63,-2.11
Ir3Re,Ir,3,Re,1.3,-1.4,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,1.57,2.2,6.63,-2.11
Ir3Ru,Ir,3,Ru,1.7,-0.1,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,1.57,2.2,6.63,-2.11
Ir3W,Ir,3,W,1.6,-1.6,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,74,183.84,6,6,1.93,1.4,3695,5828,52.3,19.3,7.86,3.23,1.57,2.2,6.63,-2.11
Ni3Co,Ni,3,Co,1.7,0.1,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,1.16,1.91,5.77,-1.29
Ni3Fe,Ni,3,Fe,1.8,-0.2,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,1.16,1.91,5.77,-1.29
Ni3Ge,Ni,3,Ge,3,0.9,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,1.16,1.91,5.77,-1.29
Ni3Ni,Ni,3,Ni,1.5,0.2,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,1.16,1.91,5.77,-1.29
Ni3Pt,Ni,3,Pt,2.2,0.5,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,1.16,1.91,5.77,-1.29
Ni3Sb,Ni,3,Sb,3.1,1,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,51,121.76,15,5,1.33,1.82,904,1860,19.8,6.68,8.61,0.16,1.16,1.91,5.77,-1.29
Ni3Sn,Ni,3,Sn,2.7,0.8,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,50,118.71,14,5,1.45,1.72,505,2875,7.2,7.26,7.35,0.54,1.16,1.91,5.77,-1.29
Pd3Ag,Pd,3,Ag,2.7,1.8,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,47,107.87,11,5,1.65,1.42,1235,2435,11.3,10.5,7.58,0.77,0.56,2.2,5.9,-1.83
Pd3Ga,Pd,3,Ga,3.6,1.4,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48,0.56,2.2,5.9,-1.83
Pd3Ge,Pd,3,Ge,4,1.4,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,0.56,2.2,5.9,-1.83
Pd3In,Pd,3,In,3.5,1.8,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,49,114.82,13,5,1.56,1.49,430,2345,3.3,7.31,5.79,0.3,0.56,2.2,5.9,-1.83
Pd3Pb,Pd,3,Pb,4.4,2,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,82,207.2,14,6,1.54,1.55,601,2022,4.8,11.3,7.42,0.25,0.56,2.2,5.9,-1.83
Pd3Sb,Pd,3,Sb,4.2,1.7,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,51,121.76,15,5,1.33,1.82,904,1860,19.8,6.68,8.61,0.16,0.56,2.2,5.9,-1.83
Pd3Sn,Pd,3,Sn,4.4,1.8,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,50,118.71,14,5,1.45,1.72,505,2875,7.2,7.26,7.35,0.54,0.56,2.2,5.9,-1.83
Pd3Tl,Pd,3,Tl,3.4,2.1,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,81,204.38,13,6,1.56,1.44,577,1746,4.1,11.8,6.11,0.22,0.56,2.2,5.9,-1.83
Pd3Zn,Pd,3,Zn,3.4,1.5,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,0.56,2.2,5.9,-1.83
Pt3Ag,Pt,3,Ag,2.4,1.9,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,47,107.87,11,5,1.65,1.42,1235,2435,11.3,10.5,7.58,0.77,2.13,2.28,6.74,-2.25
Pt3Co,Pt,3,Co,2.2,0.8,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,2.13,2.28,6.74,-2.25
Pt3Cu,Pt,3,Cu,2.6,1.5,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,2.13,2.28,6.74,-2.25
Pt3Ga,Pt,3,Ga,2.9,2.3,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48,2.13,2.28,6.74,-2.25
Pt3Ge,Pt,3,Ge,3.4,1.1,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,2.13,2.28,6.74,-2.25
Pt3In,Pt,3,In,2.8,1.7,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,49,114.82,13,5,1.56,1.49,430,2345,3.3,7.31,5.79,0.3,2.13,2.28,6.74,-2.25
Pt3Ni,Pt,3,Ni,1.9,1,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,2.13,2.28,6.74,-2.25
Pt3Pb,Pt,3,Pb,3.1,1.9,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,82,207.2,14,6,1.54,1.55,601,2022,4.8,11.3,7.42,0.25,2.13,2.28,6.74,-2.25
Pt3Pt,Pt,3,Pt,2.1,1.3,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,2.13,2.28,6.74,-2.25
Pt3Tl,Pt,3,Tl,2.7,2,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,81,204.38,13,6,1.56,1.44,577,1746,4.1,11.8,6.11,0.22,2.13,2.28,6.74,-2.25
Pt3Zn,Pt,3,Zn,3.2,1.3,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,2.13,2.28,6.74,-2.25
Re3Ir,Re,3,Ir,1.1,-0.8,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,0.15,1.9,5.88,-0.51
Re3Pt,Re,3,Pt,1.7,-0.8,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,0.15,1.9,5.88,-0.51
Re3Re,Re,3,Re,0.5,-1.4,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,0.15,1.9,5.88,-0.51
Re3Rh,Re,3,Rh,1.1,-0.9,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,0.15,1.9,5.88,-0.51
Rh3Ge,Rh,3,Ge,1.8,0.9,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,1.14,2.28,5.91,-1.73
Rh3Re,Rh,3,Re,1.2,-1.7,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,1.14,2.28,5.91,-1.73
Rh3Rh,Rh,3,Rh,1.4,0.2,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,1.14,2.28,5.91,-1.73
Rh3Sb,Rh,3,Sb,2.3,1,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,51,121.76,15,5,1.33,1.82,904,1860,19.8,6.68,8.61,0.16,1.14,2.28,5.91,-1.73
Rh3Sn,Rh,3,Sn,2.2,0.9,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,50,118.71,14,5,1.45,1.72,505,2875,7.2,7.26,7.35,0.54,1.14,2.28,5.91,-1.73
Rh3W,Rh,3,W,1.6,-1.8,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,74,183.84,6,6,1.93,1.4,3695,5828,52.3,19.3,7.86,3.23,1.14,2.28,5.91,-1.73
Ru3Ir,Ru,3,Ir,1.4,-0.1,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,1.05,2.2,5.73,-1.41
Ru3Ru,Ru,3,Ru,1.3,0,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,1.05,2.2,5.73,-1.41
Pt3Hf,Pt,3,Hf,3.3,-0.6,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,72,178.49,4,6,2.08,1.23,2506,4876,27.2,13.3,6.83,1.71,2.13,2.28,6.74,-2.25
Pt3Zr,Pt,3,Zr,3.2,-0.7,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,40,91.22,4,5,2.06,1.22,2128,4682,21,6.52,6.63,1.57,2.13,2.28,6.74,-2.25
Pt3Sc,Pt,3,Sc,2.8,-0.3,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,21,44.96,3,4,1.84,1.2,1814,3109,14.1,2.99,6.56,1.2,2.13,2.28,6.74,-2.25
Pt3Y,Pt,3,Y,2.5,-0.2,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,39,88.91,3,5,2.12,1.11,1795,3618,11.4,4.47,6.22,0.96,2.13,2.28,6.74,-2.25
Pd3Y,Pd,3,Y,3.6,-0.5,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,39,88.91,3,5,2.12,1.11,1795,3618,11.4,4.47,6.22,0.96,0.56,2.2,5.9,-1.83
Pd3Hf,Pd,3,Hf,3.1,-1.1,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,72,178.49,4,6,2.08,1.23,2506,4876,27.2,13.3,6.83,1.71,0.56,2.2,5.9,-1.83
Pt3Ti,Pt,3,Ti,2.7,-0.9,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,22,47.87,4,4,1.76,1.32,1941,3560,14.2,4.51,6.83,1.93,2.13,2.28,6.74,-2.25
Pd3La,Pd,3,La,3.7,-0.8,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,57,138.91,4,6,1.95,1.08,1191,3737,6.2,6.15,5.58,0.7,0.56,2.2,5.9,-1.83
Pd3Zr,Pd,3,Zr,2.9,-1.2,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,40,91.22,4,5,2.06,1.22,2128,4682,21,6.52,6.63,1.57,0.56,2.2,5.9,-1.83
Rh3Hf,Rh,3,Hf,1.9,-0.9,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,72,178.49,4,6,2.08,1.23,2506,4876,27.2,13.3,6.83,1.71,1.14,2.28,5.91,-1.73
Pt3Al,Pt,3,Al,3,0.6,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,13,26.98,13,3,1.18,1.47,933,2792,10.8,2.7,5.99,0.8,2.13,2.28,6.74,-2.25
Rh3Zr,Rh,3,Zr,1.9,-1,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,40,91.22,4,5,2.06,1.22,2128,4682,21,6.52,6.63,1.57,1.14,2.28,5.91,-1.73
Pd3Ti,Pd,3,Ti,2.6,-1.2,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,22,47.87,4,4,1.76,1.32,1941,3560,14.2,4.51,6.83,1.93,0.56,2.2,5.9,-1.83
Pd3Al,Pd,3,Al,3.6,0.3,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,13,26.98,13,3,1.18,1.47,933,2792,10.8,2.7,5.99,0.8,0.56,2.2,5.9,-1.83
Rh3Ti,Rh,3,Ti,1.9,-0.8,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,22,47.87,4,4,1.76,1.32,1941,3560,14.2,4.51,6.83,1.93,1.14,2.28,5.91,-1.73
Rh3Ta,Rh,3,Ta,2,-1.2,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,73,180.95,5,6,2,1.33,3290,5731,36.6,16.4,7.55,2.34,1.14,2.28,5.91,-1.73
Au3Y,Au,3,Y,3.4,-1.5,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,39,88.91,3,5,2.12,1.11,1795,3618,11.4,4.47,6.22,0.96,2.31,2.54,6.01,-3.56
Rh3Sc,Rh,3,Sc,1.9,-0.9,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,21,44.96,3,4,1.84,1.2,1814,3109,14.1,2.99,6.56,1.2,1.14,2.28,5.91,-1.73
Pt3Ta,Pt,3,Ta,2.4,-1.7,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,73,180.95,5,6,2,1.33,3290,5731,36.6,16.4,7.55,2.34,2.13,2.28,6.74,-2.25
