1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Au,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,2.31,2.54,6.01,-3.56
Co,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,0.66,1.88,5.76,-1.17
Cu,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,1.24,1.9,5.3,-2.67
Ir,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,1.57,2.2,6.63,-2.11
Ni,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,1.16,1.91,5.77,-1.29
Pd,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,0.56,2.2,5.9,-1.83
Pt,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,2.13,2.28,6.74,-2.25
Re,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,0.15,1.9,5.88,-0.51
Rh,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,1.14,2.28,5.91,-1.73
Ru,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,1.05,2.2,5.73,-1.41
Fe,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,0.15,1.83,5.54,-0.92
Cd,48,112.41,12,5,1.61,1.46,594,1040,6.2,8.69,8.99,0.2,,,,
Ge,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,,,,
W,74,183.84,6,6,1.93,1.4,3695,5828,52.3,19.3,7.86,3.23,0.86,2.36,5.09,0.77
Sb,51,121.76,15,5,1.33,1.82,904,1860,19.8,6.68,8.61,0.16,,,,
Sn,50,118.71,14,5,1.45,1.72,505,2875,7.2,7.26,7.35,0.54,,,,
Ag,47,107.87,11,5,1.65,1.42,1235,2435,11.3,10.5,7.58,0.77,1.3,1.93,5.01,-4.3
Ga,31,69.72,13,4,1.36,1.82,303,2477,5.6,5.91,6,0.48,,,,
In,49,114.82,13,5,1.56,1.49,430,2345,3.3,7.31,5.79,0.3,,,,
Pb,82,207.2,14,6,1.54,1.55,601,2022,4.8,11.3,7.42,0.25,,,,
Tl,81,204.38,13,6,1.56,1.44,577,1746,4.1,11.8,6.11,0.22,,,,
Zn,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,,,,
Hf,72,178.49,4,6,2.08,1.23,2506,4876,27.2,13.3,6.83,1.71,,,,
Zr,40,91.22,4,5,2.06,1.22,2128,4682,21,6.52,6.63,1.57,,,,
Sc,21,44.96,3,4,1.84,1.2,1814,3109,14.1,2.99,6.56,1.2,,,,
Y,39,88.91,3,5,2.12,1.11,1795,3618,11.4,4.47,6.22,0.96,,,,
Ti,22,47.87,4,4,1.76,1.32,1941,3560,14.2,4.51,6.83,1.93,,,,
La,57,138.91,4,6,1.95,1.08,1191,3737,6.2,6.15,5.58,0.7,,,,
Al,13,26.98,13,3,1.18,1.47,933,2792,10.8,2.7,5.99,0.8,,,,
Ta,73,180.95,5,6,2,1.33,3290,5731,36.6,16.4,7.55,2.34,,,,
Nb,41,92.91,5,5,1.98,1.23,2750,5017,30,8.57,6.76,2.07,,,,
V,23,50.94,5,4,1.71,1.45,2183,3680,21.5,6,6.75,2.38,,,,
Si,14,28.09,14,3,1.11,1.74,1687,3538,50.2,2.33,8.15,1.28,,,,
Cr,24,52,6,4,1.66,1.56,2180,2944,21,7.15,6.77,3.2,,,,
Os,76,190.23,8,6,1.85,1.52,3306,5285,57.9,22.59,8.44,2.92,,,,